Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,17.969999,18.719999,17.840000,18.299999,18.058342,178500
2019-05-06,17.959999,18.740000,17.959999,18.610001,18.364248,263100
2019-05-07,18.400000,18.750000,18.350000,18.690001,18.443193,179400
2019-05-08,18.629999,19.059999,18.540001,18.740000,18.492533,82700
2019-05-09,18.580000,19.260000,18.500000,19.219999,18.966192,89700
2019-05-10,19.049999,19.500000,19.049999,19.430000,19.248531,72800
2019-05-13,19.139999,19.590000,19.020000,19.430000,19.248531,115600
2019-05-14,19.450001,19.730000,19.290001,19.370001,19.189093,102700
2019-05-15,19.180000,19.760000,19.020000,19.549999,19.367411,81500
2019-05-16,19.600000,19.879999,19.590000,19.650000,19.466476,78900
2019-05-17,19.469999,19.959999,19.469999,19.559999,19.377316,91600
2019-05-20,19.450001,19.879999,19.420000,19.610001,19.426853,92100
2019-05-21,19.680000,20.330000,19.680000,20.309999,20.120312,96500
2019-05-22,20.209999,20.520000,20.049999,20.209999,20.021246,73200
2019-05-23,20.059999,20.379999,19.980000,20.180000,19.991528,71500
2019-05-24,20.290001,20.620001,20.209999,20.570000,20.377884,68500
2019-05-28,20.520000,20.620001,19.629999,19.650000,19.466476,77500
2019-05-29,19.610001,19.610001,19.110001,19.180000,19.000868,83000
2019-05-30,19.260000,19.290001,18.799999,19.000000,18.822548,92700
2019-05-31,18.730000,18.790001,17.809999,18.219999,18.049831,197000
2019-06-03,18.160000,18.459999,18.000000,18.370001,18.198433,193600
2019-06-04,18.500000,19.049999,18.480000,18.969999,18.792830,69100
2019-06-05,18.990000,19.330000,18.510000,18.790001,18.614510,78700
2019-06-06,18.790001,18.850000,18.570000,18.740000,18.564978,86800
2019-06-07,18.870001,19.020000,18.500000,18.799999,18.624416,99000
2019-06-10,18.790001,19.209999,18.780001,18.900000,18.723482,96000
2019-06-11,19.000000,19.139999,18.520000,18.610001,18.436190,84200
2019-06-12,18.570000,19.000000,18.530001,18.820000,18.644228,62300
2019-06-13,19.030001,19.330000,18.930000,19.270000,19.090025,80700
2019-06-14,19.209999,19.660000,19.150000,19.520000,19.337692,46000
2019-06-17,19.559999,19.680000,19.330000,19.400000,19.218811,39100
2019-06-18,19.469999,19.850000,19.299999,19.340000,19.159374,49000
2019-06-19,18.629999,19.430000,18.620001,19.400000,19.218811,65900
2019-06-20,19.570000,19.570000,19.270000,19.350000,19.169281,72700
2019-06-21,19.170000,19.280001,18.969999,19.110001,18.931522,77600
2019-06-24,19.030001,19.260000,18.700001,18.980000,18.802734,72400
2019-06-25,18.920000,18.969999,18.580000,18.730000,18.555069,65900
2019-06-26,18.760000,18.770000,18.510000,18.730000,18.555069,48700
2019-06-27,18.719999,18.920000,18.510000,18.820000,18.644228,60600
2019-06-28,18.820000,19.080000,18.740000,19.010000,18.832455,295200
2019-07-01,19.070000,19.219999,18.570000,18.670000,18.495630,97400
2019-07-02,18.730000,18.870001,18.549999,18.840000,18.664042,42800
2019-07-03,18.799999,18.969999,18.790001,18.950001,18.773016,11700
2019-07-05,18.809999,19.049999,18.660000,19.020000,18.842361,49700
2019-07-08,18.969999,18.969999,18.430000,18.459999,18.287590,39700
2019-07-09,18.420000,18.420000,18.110001,18.230000,18.059740,47000
2019-07-10,18.280001,18.590000,18.209999,18.570000,18.396564,67700
2019-07-11,18.559999,18.610001,18.260000,18.379999,18.208338,40300
2019-07-12,18.360001,18.690001,18.330000,18.580000,18.406469,43700
2019-07-15,18.629999,18.709999,18.309999,18.670000,18.495630,47300
2019-07-16,18.610001,18.840000,18.459999,18.500000,18.327219,46000
2019-07-17,18.440001,18.500000,18.129999,18.309999,18.138992,52700
2019-07-18,18.219999,18.379999,18.040001,18.200001,18.030022,43900
2019-07-19,18.139999,18.350000,18.070000,18.090000,17.921045,50000
2019-07-22,18.090000,18.480000,18.070000,18.440001,18.267778,47500
2019-07-23,18.490000,18.510000,18.000000,18.469999,18.297497,92700
2019-07-24,18.389999,18.820000,18.299999,18.780001,18.604603,45700
2019-07-25,18.790001,19.120001,18.770000,18.940001,18.763109,60600
2019-07-26,19.010000,19.309999,19.010000,19.150000,18.971148,32700
2019-07-29,19.120001,19.469999,19.000000,19.350000,19.169281,49800
2019-07-30,19.270000,19.559999,19.070000,19.459999,19.278252,61500
2019-07-31,19.459999,19.680000,19.040001,19.120001,18.941429,118000
2019-08-01,19.860001,22.940001,19.750000,22.340000,22.131355,151400
2019-08-02,22.219999,22.600000,21.620001,21.920000,21.715275,78800
2019-08-05,21.620001,22.680000,21.620001,22.500000,22.289858,118500
2019-08-06,22.559999,22.950001,22.200001,22.340000,22.131355,124700
2019-08-07,22.170000,22.719999,22.110001,22.250000,22.042194,86800
2019-08-08,22.400000,22.770000,22.170000,22.600000,22.388926,180800
2019-08-09,22.400000,22.860001,22.389999,22.450001,22.314381,84800
2019-08-12,22.350000,22.610001,22.160000,22.219999,22.085768,66100
2019-08-13,22.250000,22.639999,21.730000,21.850000,21.718004,77000
2019-08-14,21.690001,22.270000,21.670000,22.180000,22.046011,127500
2019-08-15,22.260000,22.620001,21.969999,22.000000,21.867096,83900
2019-08-16,22.070000,22.639999,22.000000,22.490000,22.354137,81800
2019-08-19,22.629999,22.830000,22.540001,22.650000,22.513170,44200
2019-08-20,22.540001,22.750000,22.170000,22.200001,22.065889,42200
2019-08-21,22.200001,22.219999,21.790001,21.830000,21.698124,43000
2019-08-22,21.920000,22.090000,21.469999,21.510000,21.380058,58300
2019-08-23,21.400000,21.459999,20.799999,20.990000,20.863197,98200
2019-08-26,21.100000,21.639999,21.090000,21.520000,21.389997,73200
2019-08-27,21.639999,21.719999,20.910000,20.959999,20.833380,55200
2019-08-28,20.860001,21.320000,20.860001,21.129999,21.002354,64500
2019-08-29,21.340000,21.459999,21.059999,21.100000,20.972536,36300
2019-08-30,21.120001,21.389999,21.010000,21.270000,21.141508,101600
2019-09-03,21.200001,21.330000,20.650000,21.129999,21.002354,55300
2019-09-04,21.230000,21.270000,20.990000,21.080000,20.952656,34900
2019-09-05,21.250000,21.610001,21.000000,21.309999,21.181265,57500
2019-09-06,21.400000,21.700001,21.160000,21.190001,21.061991,70000
2019-09-09,21.230000,21.620001,21.160000,21.389999,21.260782,50200
2019-09-10,21.389999,22.330000,21.250000,21.900000,21.767700,102200
2019-09-11,21.969999,22.549999,21.969999,22.540001,22.403835,93000
2019-09-12,22.639999,22.850000,22.360001,22.450001,22.314381,131600
2019-09-13,22.650000,22.889999,22.480000,22.690001,22.552931,81000
2019-09-16,22.660000,22.670000,22.410000,22.500000,22.364077,144800
2019-09-17,22.480000,22.809999,22.400000,22.639999,22.503229,72200
2019-09-18,22.790001,22.940001,22.389999,22.410000,22.274622,147500
2019-09-19,22.400000,22.700001,22.200001,22.219999,22.085768,67700
2019-09-20,22.260000,22.320000,21.709999,21.760000,21.628548,170200
2019-09-23,21.629999,21.950001,21.590000,21.590000,21.459574,88500
2019-09-24,21.670000,21.850000,21.260000,21.280001,21.151447,103300
2019-09-25,21.350000,21.750000,21.350000,21.700001,21.568911,85900
2019-09-26,21.660000,21.860001,21.090000,21.299999,21.171326,56800
2019-09-27,21.299999,21.410000,20.820000,20.910000,20.783682,48500
2019-09-30,20.820000,21.120001,20.420000,20.440001,20.316523,70400
2019-10-01,20.680000,21.049999,20.500000,20.620001,20.495436,112900
2019-10-02,20.469999,20.959999,20.410000,20.920000,20.793621,96700
2019-10-03,20.910000,21.080000,20.520000,20.750000,20.624649,112300
2019-10-04,20.680000,20.830000,20.430000,20.610001,20.485495,94800
2019-10-07,20.540001,20.990000,20.500000,20.620001,20.495436,165700
2019-10-08,20.540001,21.320000,20.510000,20.969999,20.843319,226200
2019-10-09,20.969999,21.530001,20.700001,20.860001,20.733986,64200
2019-10-10,20.950001,21.480000,20.900000,21.309999,21.181265,109700
2019-10-11,21.500000,21.740000,21.270000,21.299999,21.171326,82600
2019-10-14,21.090000,21.420000,21.080000,21.330000,21.201145,66000
2019-10-15,21.389999,21.610001,21.360001,21.490000,21.360178,116300
2019-10-16,21.420000,21.490000,21.070000,21.080000,20.952656,74400
2019-10-17,21.209999,21.639999,21.100000,21.490000,21.360178,115200
2019-10-18,21.389999,21.610001,21.389999,21.469999,21.340300,85700
2019-10-21,21.610001,21.940001,21.610001,21.680000,21.549030,79900
2019-10-22,21.629999,21.790001,21.379999,21.389999,21.260782,39100
2019-10-23,21.400000,21.530001,21.370001,21.459999,21.330359,67100
2019-10-24,21.600000,21.639999,21.400000,21.600000,21.469515,74300
2019-10-25,21.590000,22.129999,21.540001,22.000000,21.867096,114900
2019-10-28,22.020000,22.930000,22.020000,22.780001,22.642387,173400
2019-10-29,22.900000,26.700001,22.600000,26.559999,26.399551,555000
2019-10-30,26.600000,26.809999,25.629999,26.160000,26.001966,181000
2019-10-31,26.129999,26.270000,25.540001,25.760000,25.604383,122700
2019-11-01,25.760000,26.840000,25.690001,26.299999,26.141121,86900
2019-11-04,26.200001,26.250000,25.430000,25.629999,25.475168,60100
2019-11-05,25.809999,26.129999,25.549999,25.590000,25.435411,65300
2019-11-06,25.490000,25.770000,24.969999,25.040001,24.888735,80300
2019-11-07,24.990000,25.469999,24.680000,25.420000,25.342342,105800
2019-11-08,25.379999,25.500000,24.799999,24.870001,24.794024,44600
2019-11-11,24.660000,24.980000,24.230000,24.299999,24.225763,62200
2019-11-12,24.330000,24.790001,24.270000,24.709999,24.634510,59400
2019-11-13,24.620001,24.660000,24.270000,24.400000,24.325459,35400
2019-11-14,24.450001,24.750000,24.280001,24.500000,24.425154,63000
2019-11-15,24.650000,24.650000,24.209999,24.309999,24.235733,46900
2019-11-18,24.299999,24.420000,24.139999,24.370001,24.295551,48900
2019-11-19,24.200001,24.350000,24.120001,24.129999,24.056282,107100
2019-11-20,24.059999,24.330000,24.000000,24.200001,24.126070,125200
2019-11-21,24.309999,24.350000,23.950001,23.990000,23.916712,36000
2019-11-22,24.059999,24.059999,23.670000,23.680000,23.607658,46800
2019-11-25,23.860001,24.340000,23.709999,24.040001,23.966558,57100
2019-11-26,24.020000,24.209999,23.860001,24.049999,23.976526,81700
2019-11-27,24.049999,24.250000,23.730000,23.750000,23.677444,94700
2019-11-29,23.680000,24.260000,23.680000,24.049999,23.976526,51700
2019-12-02,24.080000,24.420000,23.889999,24.350000,24.275612,78600
2019-12-03,24.650000,25.690001,24.530001,25.400000,25.322403,218900
2019-12-04,25.680000,26.889999,25.530001,26.490000,26.409073,220600
2019-12-05,26.639999,26.660000,25.889999,26.330000,26.249563,135400
2019-12-06,26.500000,26.709999,25.940001,26.059999,25.980387,227900
2019-12-09,26.150000,27.139999,26.150000,27.000000,26.917515,152800
2019-12-10,27.049999,27.530001,26.540001,27.080000,26.997271,117000
