"text","retweet_count","favorite_count","Followers","Follower_Change","Num_Tweets","Year","Month","Week","Day","Hour"
"Judge Kavanaugh showed America exactly why I nominated him. His testimony was powerful honest and riveting. DemocratsÕ search and destroy strategy is disgraceful and this process has been a total sham and effort to delay obstruct and resist. The Senate must vote!",85502,320158,54672474,21128,12,2018,9,39,27,22
"https://t.co/9o5gZlJiTd",17391,77145,54651346,20751,13,2018,9,39,26,23
"Join me this Saturday in Wheeling West Virginia at 7pmE! Tickets: https://t.co/JyRaBps0eR https://t.co/hiruLIxa7w",14484,52957,54651346,20751,13,2018,9,39,26,20
"Congressman Lee Zeldin is doing a fantastic job in D.C. Tough and smart he loves our Country and will always be there to do the right thing. He has my Complete and Total Endorsement!",14949,65494,54651346,20751,13,2018,9,39,26,17
"China is actually placing propaganda ads in the Des Moines Register and other papers made to look like news. ThatÕs because we are beating them on Trade opening markets and the farmers will make a fortune when this is over! https://t.co/ppdvTX7oz1",19236,58671,54651346,20751,13,2018,9,39,26,17
"Avenatti is a third rate lawyer who is good at making false accusations like he did on me and like he is now doing on Judge Brett Kavanaugh. He is just looking for attention and doesnÕt want people to look at his past record and relationships - a total low-life!",35436,138914,54651346,20751,13,2018,9,39,26,16
"Jobless Claims fell to their lowest level in 49 years!",20804,95802,54651346,20751,13,2018,9,39,26,10
"Consumer confidence hits an 18 year high close to breaking the all-time record. A big jump from last 8 years. People are excited about the USA again! We are getting Bigger and Richer and Stronger. WAY MORE TO GO!",20718,91795,54651346,20751,13,2018,9,39,26,10
"The Democrats are playing a high level CON GAME in their vicious effort to destroy a fine person. It is called the politics of destruction. Behind the scene the Dems are laughing. Pray for Brett Kavanaugh and his family!",35352,128046,54651346,20751,13,2018,9,39,26,2
"ÒThese law enforcement people took the law into their own hands when it came to President Trump.Ó @LindseyGrahamSC",13625,56890,54651346,20751,13,2018,9,39,26,2
"73rd Session of the United Nations General Assembly #UNGA https://t.co/xJyx7RrH5F",12515,52854,54630595,17609,12,2018,9,39,25,22
"ÒConsumer confidence rose in September notching its highest level in about 18 years. The Consumer Board's index rose to 138.4 this month from 134.7 in August...Ó https://t.co/ZbxjnrRvAX",13602,55129,54630595,17609,12,2018,9,39,25,20
"ÒRemarks by President Trump at a Luncheon Hosted by the Secretary-General of the United NationsÓ https://t.co/ShHaLmoSDL https://t.co/k62KGgD8j6",9905,41237,54630595,17609,12,2018,9,39,25,19
"ÒRemarks by President Trump to the 73rd Session of the United Nations General AssemblyÓ __https://t.co/Oshhko61zY https://t.co/Fm8LSse417",9721,40707,54630595,17609,12,2018,9,39,25,17
"Rush Limbaugh to Republicans: ÒYou can kiss the MIDTERMS goodbye if you donÕt get highly qualified Kavanaugh approved.Ó",27530,97276,54630595,17609,12,2018,9,39,25,16
"Thank you Dr. Jeffress! https://t.co/cm7NjQh0ti",14398,58077,54630595,17609,12,2018,9,39,25,16
"Thank you Mark! https://t.co/NVGs6WbQe2",15800,72174,54630595,17609,12,2018,9,39,25,16
"https://t.co/h43dehf0WV",13611,45414,54630595,17609,12,2018,9,39,25,15
"Will be speaking at the United Nations this morning. Our country is much stronger and much richer than it was when I took office less than two years ago. We are also MUCH safer!",16399,86379,54630595,17609,12,2018,9,39,25,13
"Despite requests I have no plans to meet Iranian President Hassan Rouhani. Maybe someday in the future. I am sure he is an absolutely lovely man!",15858,81525,54630595,17609,12,2018,9,39,25,10
"Republican Party Favorability is the highest it has been in 7 years - 3 points higher than Democrats!  Gallup",17231,77692,54630595,17609,12,2018,9,39,25,10
"The Democrats are working hard to destroy a wonderful man and a man who has the potential to be one of our greatest Supreme Court Justices ever with an array of False Accusations the likes of which have never been seen before!",31002,116267,54630595,17609,12,2018,9,39,25,2
"REMEMBER THE MIDTERMS!",30262,109822,54630595,17609,12,2018,9,39,25,2
"https://t.co/FXqSWusSTV",12129,51240,54630595,17609,12,2018,9,39,25,0
"It was my great honor to welcome President @EmmanuelMacron of France to the United States here in New York City this evening! #UNGA https://t.co/Gd7pCBFUCg",7823,39123,54612986,17292,3,2018,9,39,24,23
"It was my great honor to welcome President @AlsisiOfficial of Egypt to the United States this afternoon in New York City. Great meetings! #UNGA https://t.co/dsMZWodpWr",8000,36681,54612986,17292,3,2018,9,39,24,22
"Joint Statement on the United States-Korea Free Trade Agreement: https://t.co/m0jW8nqdQW https://t.co/lcrhsJtv00",8842,37658,54612986,17292,3,2018,9,39,24,21
"Brett Kavanaugh and his wife Ashley will be interviewed tonight at 7pmE on @marthamaccallum @FoxNews. This is an outstanding family who must be treated fairly!",19608,87822,54612986,17292,3,2018,9,39,24,21
"US-Korea Free Trade Agreement Signing Ceremony! https://t.co/yLFkAZgagG",14068,54195,54612986,17292,3,2018,9,39,24,20
"It was my great honor to welcome and meet with President @moonriver365 Jae-in of South Korea today in New York City! https://t.co/7f3eOYGxDn #UNGA https://t.co/B6rVeeBTCc",9072,36651,54612986,17292,3,2018,9,39,24,20
"Today we commit to fighting the drug epidemic together! #UNGA https://t.co/XgaYTOBrSK",12943,57982,54612986,17292,3,2018,9,39,24,16
"ÒRemarks by President Trump at ÔGlobal Call to Action on the World Drug ProblemÕ EventÓ #UNGA__https://t.co/kvUZegWdlH https://t.co/BGdrQeZuId",8381,36512,54612986,17292,3,2018,9,39,24,14
"Prime Minster @AbeShinzo is coming up to Trump Tower for dinner but most importantly he just had a great landslide victory in Japan. I will congratulate him on behalf of the American people!",18515,90729,54595694,16032,3,2018,9,38,23,22
"Going to New York. Will be with Prime Minister Abe of Japan tonight talking Military and Trade. We have done much to help Japan would like to see more of a reciprocal relationship. It will all work out!",18629,91973,54595694,16032,3,2018,9,38,23,20
"Tiger is playing great. Looks like a big win could happen. Very exciting! @TigerWoods",16561,105536,54595694,16032,3,2018,9,38,23,20
"https://t.co/qZSEifBNaP",14753,64616,54579662,26029,27,2018,9,38,22,19
"https://t.co/MgkotGmkJ0",16015,67949,54579662,26029,27,2018,9,38,22,14
"New Economic Records being set on a daily basis - and it is not by accident!",22353,104207,54579662,26029,27,2018,9,38,22,14
"GOD BLESS THE U.S.A.! https://t.co/n9OkDlqz11",24920,102047,54579662,26029,27,2018,9,38,22,3
"Thank you Missouri - Together we are MAKING AMERICA GREAT AGAIN! https://t.co/onl1HmM2Gz",12941,56599,54579662,26029,27,2018,9,38,22,1
"Thank you Missouri - I love you!https://t.co/rx3mtd7yOy",14698,60180,54579662,26029,27,2018,9,38,22,1
"Remarks by President Trump at the Signing of H.R. 5895: https://t.co/tfKJJGMevo https://t.co/7hcD22Txvy",7897,34877,54553633,7551,17,2018,9,38,21,21
"https://t.co/hIw1AQdRpY",12362,53247,54553633,7551,17,2018,9,38,21,20
"Promises Kept for our GREAT Veterans! https://t.co/C0h8cW4FuH",11300,46287,54553633,7551,17,2018,9,38,21,20
"Throughout American history the men and women of our Armed Forces have selflessly served our Country making tremendous sacrifices to defend our liberty. On National POW/MIA Recognition Day we honor all American Prisoners of War: https://t.co/ZGiqdYbats https://t.co/OEetrLzgcJ",11139,44190,54553633,7551,17,2018,9,38,21,17
"Senator Feinstein and the Democrats held the letter for months only to release it with a bang after the hearings were OVER - done very purposefully to Obstruct &amp; Resist &amp; Delay. Let her testify or not and TAKE THE VOTE!",27363,93620,54553633,7551,17,2018,9,38,21,15
"....has been asked to review these documents on an expedited basis. I believe he will move quickly on this (and hopefully other things which he is looking at). In the end I can always declassify if it proves necessary. Speed is very important to me - and everyone!",17080,68386,54553633,7551,17,2018,9,38,21,14
"I met with the DOJ concerning the declassification of various UNREDACTED documents. They agreed to release them but stated that so doing may have a perceived negative impact on the Russia probe. Also key AlliesÕ called to ask not to release. Therefore the Inspector General.....",15646,57596,54553633,7551,17,2018,9,38,21,14
"The radical left lawyers want the FBI to get involved NOW. Why didnÕt someone call the FBI 36 years ago?",17344,82151,54553633,7551,17,2018,9,38,21,13
"I will Chair the United Nations Security Council meeting on Iran next week!",15753,69954,54553633,7551,17,2018,9,38,21,13
"I have no doubt that if the attack on Dr. Ford was as bad as she says charges would have been immediately filed with local Law Enforcement Authorities by either her or her loving parents. I ask that she bring those filings forward so that we can learn  date time and place!",26967,112493,54553633,7551,17,2018,9,38,21,13
"Judge Brett Kavanaugh is a fine man with an impeccable reputation who is under assault by radical left wing politicians who donÕt want to know the answers they just want to destroy and delay. Facts donÕt matter. I go through this with them every single day in D.C.",30060,115346,54553633,7551,17,2018,9,38,21,12
"AMERICA IS WINNING AGAIN! https://t.co/6HcBjLAAQB",19589,80251,54553633,7551,17,2018,9,38,21,4
"Thank you Las Vegas Nevada - I love you! #MAGA__ https://t.co/GBZO84PyQ1",11035,49497,54553633,7551,17,2018,9,38,21,3
"MAKE AMERICA GREAT AGAIN!https://t.co/OYJUkiEUid",14058,54005,54553633,7551,17,2018,9,38,21,3
"Landing in Las Vegas now for a Make America Great Again Rally supporting @DeanHeller and @DannyTarkanian. Also doing interview there with @seanhannity live on @FoxNews. Big crowd long lines. Will be great! #MAGA",10819,53571,54553633,7551,17,2018,9,38,21,1
"https://t.co/LdXQb42Imc",12817,43045,54546082,20700,7,2018,9,38,20,23
"On my way to Las Vegas Nevada. Look forward to seeing everyone tonight! #MAGA https://t.co/wTeerIUJvd",12571,56662,54546082,20700,7,2018,9,38,20,21
"https://t.co/RzqoiQ4SmD",13548,53965,54546082,20700,7,2018,9,38,20,18
"...North Korea to be identified as a result of my Summit with Chairman Kim. These HEROES are home they may Rest In Peace and hopefully their families can have closure.",11473,51620,54546082,20700,7,2018,9,38,20,18
"Army Master Sgt. Charles H. McDaniel 32 of Vernon Indiana and Army Pfc. William H. Jones 19 of Nash County North Carolina are the first American remains from...",13117,55760,54546082,20700,7,2018,9,38,20,18
"Congratulations to my good friend Prime Minister @AbeShinzo on his HUGE election victory in Japan. IÕm looking forward to many more years of working together. See you in New York next week!____",15886,70441,54546082,20700,7,2018,9,38,20,17
".@JayWebberNJ is running for Congress in the 11th District of New Jersey. He is outstanding in every way. Strong on Borders loves our Military and our Vets. Big Crime fighter. Jay has my Full and Total Endorsement!",11519,43325,54546082,20700,7,2018,9,38,20,17
"S&amp;P 500 HITS ALL-TIME HIGH  Congratulations USA!",20666,91147,54546082,20700,7,2018,9,38,20,13
"I want to know where is the money for Border Security and the WALL in this ridiculous Spending Bill and where will it come from after the Midterms? Dems are obstructing Law Enforcement and Border Security. REPUBLICANS MUST FINALLY GET TOUGH!",30760,116581,54546082,20700,7,2018,9,38,20,11
"....The thing thatÕs lacking is we canÕt properly secure the Border because of the Democrats historic level of Obstruction.Ó Senator David Perdue of Georgia.",13338,54720,54546082,20700,7,2018,9,38,20,11
"ÒWe canÕt secure the Border because of the Democrats historic level of Obstruction. The Presidents fed up with this. His agenda is working. The economy is growing at twice the rate it did under Obama. WeÕve nominated and confirmed 68 Federal Judges 26 Court of Appeals Judges....",15743,61551,54546082,20700,7,2018,9,38,20,11
"We protect the countries of the Middle East they would not be safe for very long without us and yet they continue to push for higher and higher oil prices! We will remember. The OPEC monopoly must get prices down now!",20287,82509,54546082,20700,7,2018,9,38,20,11
"Financial and jobs numbers are fantastic. There are plenty of new high paying jobs available in our great and very vibrant economy. If you are not happy where you are start looking - but also remember our economy is only getting better. Vote in Midterms!",17894,71777,54546082,20700,7,2018,9,38,20,11
"https://t.co/zMg2iZgriM",18578,73815,54546082,20700,7,2018,9,38,20,0
"Great new book by Jason Chaffetz appropriately called ÒThe Deep State.Ó Very interesting indeed!",19707,82490,54525382,19911,14,2018,9,38,19,23
"Just returned to the White House from the Great States of North Carolina and South Carolina where incredible work is being done on the ongoing fight against hurricane Florence. Tremendous talent and spirit!",15965,82609,54525382,19911,14,2018,9,38,19,23
"ÒPresident Donald J. TrumpÕs Administration is Providing Support to Those Impacted by Hurricane FlorenceÓ https://t.co/3neafSgQ1h",10953,48799,54525382,19911,14,2018,9,38,19,17
"ÒNorth Korea recommits to denuclearization - weÕve come a long way.Ó @FoxNews",21671,100372,54525382,19911,14,2018,9,38,19,11
"....it was impossible - and then already itÕs over 4% and I expect itÕs going to grow faster and faster. WeÕre just getting started here.Ó Peter Ferrara former advisor to President Reagan. @foxandfriends",14930,65748,54525382,19911,14,2018,9,38,19,11
"ÒThe recovery got started on Election Day 2016. It took TrumpÕs Tax Cuts and Regulation Cuts to get the economy booming. Before that it was the worst and slowest economic recovery since the Great Depression. It took just 6 months for Trump to get to 3% even though they said.....",19078,78493,54525382,19911,14,2018,9,38,19,11
"....returned home to the United States. Also North and South Korea will file a joint bid to host the 2032 Olympics. Very exciting!",17236,77048,54525382,19911,14,2018,9,38,19,4
"Kim Jong Un has agreed to allow Nuclear inspections subject to final negotiations and to permanently dismantle a test site and launch pad in the presence of international experts. In the meantime there will be no Rocket or Nuclear testing. Hero remains to continue being........",26173,102073,54525382,19911,14,2018,9,38,19,4
"The Supreme Court is one of the main reasons I got elected President. I hope Republican Voters and others are watching and studying the Democrats Playbook.",32155,118509,54525382,19911,14,2018,9,38,19,3
"https://t.co/G0BjCXEnaX",15834,69480,54505471,14206,30,2018,9,38,18,23
"Today it was my great honor to welcome @prezydentpl Andrzej Duda of Poland to the @WhiteHouse! https://t.co/VdsTYdq9MN",9979,47057,54505471,14206,30,2018,9,38,18,21
"Today I took action to strengthen our NationÕs defenses against biological threats. For the first time in history the Federal Government has a National Biodefense Strategy to address the FULL RANGE of biological threats! https://t.co/kW7Ug1DA6q",18033,73217,54505471,14206,30,2018,9,38,18,18
"Thank you to our great Coast Guard for doing such a tremendous job - thousands of lives being saved! https://t.co/Ud8AT1orf8 https://t.co/YEFnGMmwoV",13183,62420,54505471,14206,30,2018,9,38,18,15
"...that FEMA our Military and our First Responders who are all unbelievable are a disaster and not doing a good job. This will be a total lie but thatÕs what they do and everybody knows it!",10930,51785,54505471,14206,30,2018,9,38,18,15
"Right now everybody is saying what a great job we are doing with Hurricane Florence Ð and they are 100% correct. But donÕt be fooled at some point in the near future the Democrats will start ranting...",15505,71470,54505471,14206,30,2018,9,38,18,15
"Happy 71st Birthday to our GREAT United States Air Force! https://t.co/r9Sa7DJQ76",16784,75599,54505471,14206,30,2018,9,38,18,13
".....China has been taking advantage of the United States on Trade for many years. They also know that I am the one that knows how to stop it. There will be great and fast economic retaliation against China if our farmers ranchers and/or industrial workers are targeted!",16569,67518,54505471,14206,30,2018,9,38,18,12
"China has openly stated that they are actively trying to impact and change our election by attacking our farmers ranchers and industrial workers because of their loyalty to me. What China does not understand is that these people are great patriots and fully understand that.....",20397,86435,54505471,14206,30,2018,9,38,18,12
"....campaign which is unprecedented in our history.Ó Congressman Peter King  Really bad things were happening but they are now being exposed. Big stuff!",14974,59393,54505471,14206,30,2018,9,38,18,12
"ÒWhat will be disclosed is that there was no basis for these FISA Warrants that the important information was kept from the court thereÕs going to be a disproportionate influence of the (Fake) Dossier. Basically you have a counter terrorism tool used to spy on a presidential...",22835,77212,54505471,14206,30,2018,9,38,18,12
"Today as we celebrate Hispanic Heritage Month we share our gratitude for all the ways Hispanic-Americans make our country flourish and prosper. Today and every day we honor cherish and celebrate Hispanic-American Workers Families Students Businesses and Leaders... https://t.co/2AxlbluB2S",19363,76890,54505471,14206,30,2018,9,38,18,0
"Just met John James of Michigan. He has every single quality to be your next Great Senator from Michigan. When the people of Michigan get to know John they will say he is a true star. Also distinguished Military and a Combat Vet! https://t.co/thRBoBkuFL",21938,80236,54491265,20253,7,2018,9,38,17,22
"It was my great honor to host todayÕs Inaugural Meeting of the ÒPresidentÕs National Council for the American WorkerÓ in the Roosevelt Room! Read more: https://t.co/mi7MVljnBa https://t.co/vyvlw2YP91",9684,44773,54491265,20253,7,2018,9,38,17,21
"https://t.co/Vu2b2hhwHu",12698,46150,54491265,20253,7,2018,9,38,17,20
"Happy Constitution Day! https://t.co/9KiLowP3Hh",14986,60547,54491265,20253,7,2018,9,38,17,19
"Join me in Las Vegas Nevada at 7:00pm for a MAKE AMERICA GREAT AGAIN RALLY! Tickets: https://t.co/keENWZEd0F https://t.co/xJzQ9foOTL",12348,45738,54491265,20253,7,2018,9,38,17,18
"Americans deserve to know the lowest drug price at their pharmacy but Ògag clausesÓ prevent your pharmacist from telling you! I support legislation that will remove gag clauses and urge the Senate to act. #AmericanPatientsFirst",23716,87932,54491265,20253,7,2018,9,38,17,18
"Immediately after ComeyÕs firing Peter Strzok texted to his lover Lisa Page ÒWe need to Open the case weÕve been waiting on now while Andy (McCabe also fired) is acting. Page answered ÒWe need to lock in (redacted). In a formal chargeable way. Soon.Ó Wow a conspiracy caught?",31318,102371,54491265,20253,7,2018,9,38,17,14
"ÒLisa Page Testimony- NO EVIDENCE OF COLLUSION BEFORE MUELLER APPOINTMENT.Ó @FoxNews by Catherine Herridge. Therefore the case should never have been allowed to be brought. It is a totally illegal Witch Hunt!",22975,80400,54491265,20253,7,2018,9,38,17,14
"Our Steel Industry is the talk of the World. It has been given new life and is thriving. Billions of Dollars is being spent on new plants all around the country!",18088,75366,54491265,20253,7,2018,9,38,17,10
"Tariffs have put the U.S. in a very strong bargaining position with Billions of Dollars and Jobs flowing into our Country - and yet cost increases have thus far been almost unnoticeable. If countries will not make fair deals with us they will be ÒTariffed!Ó",18011,78851,54491265,20253,7,2018,9,38,17,10
"ÒA lot of small &amp; medium size enterprises are registering very good profit sometimes record profits-there stocks are doing very well low income workers are getting big raises. There are an awful lot of good things going on that werenÕt during Pres. ObamaÕs Watch.Ó Peter Morici",14721,61799,54491265,20253,7,2018,9,38,17,10
"Consumer Sentiment hit its highest level in 17 years this year. Sentiment fell 11% in 2015 an Obama year and rose 16% since the Election #TrumpTime!",14904,63198,54491265,20253,7,2018,9,38,17,1
"Best economic numbers in decades. If the Democrats take control kiss your newfound wealth goodbye!",25856,102204,54471012,20790,11,2018,9,37,16,22
"Watch @MariaBartiromo at 6:00 P.M. on @FoxBusiness. Russian Hoax the big topic! Mainstream Media often referred to as the Fake News Media hates to discuss the real facts!",10224,44001,54471012,20790,11,2018,9,37,16,21
"Congratulations to all of our Mexican friends on National Independence Day. We will be doing great things together!",16166,86362,54471012,20790,11,2018,9,37,16,21
"FEMA First Responders and Law Enforcement are working really hard on hurricane Florence. As the storm begins to finally recede they will kick into an even higher gear. Very Professional!",12674,62983,54471012,20790,11,2018,9,37,16,16
"The illegal Mueller Witch Hunt continues in search of a crime. There was never Collusion with Russia except by the Clinton campaign so the 17 Angry Democrats are looking at anything they can find. Very unfair and BAD for the country. ALSO not allowed under the LAW!",25751,98778,54471012,20790,11,2018,9,37,16,14
"Exclusive -- Donald Trump Jr. to Obama: My Dad Fixed the Economy You Could Not https://t.co/HXuSBGFmf2 via @BreitbartNews",19503,67705,54471012,20790,11,2018,9,37,16,2
"Five deaths have been recorded thus far with regard to hurricane Florence! Deepest sympathies and warmth go out to the families and friends of the victims. May God be with them!",15176,77738,54450222,24507,31,2018,9,37,15,22
"When will Republican leadership learn that they are being played like a fiddle by the Democrats on Border Security and Building the Wall? Without Borders we donÕt have a country. With Open Borders which the Democrats want we have nothing but crime! Finish the Wall!",31415,116402,54450222,24507,31,2018,9,37,15,22
"While my (our) poll numbers are good with the Economy being the best ever if it werenÕt for the Rigged Russian Witch Hunt they would be 25 points higher! Highly conflicted Bob Mueller &amp; the 17 Angry Democrats are using this Phony issue to hurt us in the Midterms. No Collusion!",21389,83819,54450222,24507,31,2018,9,37,15,22
".@DannyTarkanian of Nevada is a great friend who supports the Trump Agenda. He is Strong on Crime the Border and our under siege 2nd Amendment. Danny Loves our Military and our Vets. He has my total and complete Endorsement!",11552,45292,54450222,24507,31,2018,9,37,15,20
"Congressman Keith Rothfus continues to do a great job for the people of Pennsylvania. Keith is strong on Crime the Border and our Second Amendment. Loves our Military and our Vets. He has my total Endorsement!",12891,51990,54450222,24507,31,2018,9,37,15,20
"Congressman Pete Sessions of Texas is doing a great job. He is a fighter who will be tough on Crime and the Border fight hard for our Second Amendment and loves our Military and our Vets. He has my full and complete Endorsement!",13474,53017,54450222,24507,31,2018,9,37,15,20
"Thank you Brock Ð it is my honor!ÒWe (@FEMA) have never had the support that we have had from this President.Ó Administrator @FEMA_Brock",14728,54838,54450222,24507,31,2018,9,37,15,20
"Thank you @nycemergencymgt! https://t.co/8jR4DLm99t",7460,34785,54450222,24507,31,2018,9,37,15,20
"When President Obama said that he has been to Ò57 StatesÓ very little mention in Fake News Media. Can you imagine if I said that...story of the year! @IngrahamAngle",25734,104570,54450222,24507,31,2018,9,37,15,3
"....GWU Research to tell them how many people had died in Puerto Rico (how would they not know this?). This method was never done with previous hurricanes because other jurisdictions know how many people were killed. FIFTY TIMES LAST ORIGINAL NUMBER - NO WAY!",15143,65392,54450222,24507,31,2018,9,37,15,2
"ÒWhen Trump visited the island territory last October OFFICIALS told him in a briefing 16 PEOPLE had died from Maria.Ó The Washington Post. This was long AFTER the hurricane took place. Over many months it went to 64 PEOPLE. Then like magic Ò3000 PEOPLE KILLED.Ó They hired....",16171,62263,54450222,24507,31,2018,9,37,15,2
"Great job FEMA First Responders and Law Enforcement - not easy very dangerous tremendous talent. America is proud of you. Keep it all going - finish strong!",15667,73233,54450222,24507,31,2018,9,37,15,1
"My thoughts and prayers are with Evelyn Rodriguez this evening along with her family and friends. #RIPEvelyn https://t.co/wMwxRdjBHM",17364,57813,54450222,24507,31,2018,9,37,15,0
"ÒThe story of Puerto Rico is the rebuilding that has occurred. The President has done an extraordinary job of cleanup rebuilding electrical stuff and everything else.Ó  @EdRollins   ÒThe people of Puerto Rico have one of the most corrupt governments in our country.Ó @LouDobbs",14297,54931,54450222,24507,31,2018,9,37,15,0
"ÒThey say all these people died in the storm in Puerto Rico yet 70% of the power was out before the storm. So when did people start dying? At what point do you recognize that what they are doing is a political agenda couched in the nice language of journalism?Ó  @GeraldoRivera",20783,80616,54425715,24651,21,2018,9,37,14,22
"Keep up the great work - THANK YOU! https://t.co/qCKts6CfN4",10438,47070,54425715,24651,21,2018,9,37,14,21
"We love the #CajunNavy - THANK YOU! #FlorenceHurricane2018 https://t.co/RuP55jWX8e",16837,66442,54425715,24651,21,2018,9,37,14,21
"Incredible job being done by FEMA First Responders Law Enforcement and all. Thank you!",18686,95258,54425715,24651,21,2018,9,37,14,12
"Gina is Great! https://t.co/TyLQ2W42y5",9089,41619,54425715,24651,21,2018,9,37,14,2
"John Kerry had illegal meetings with the very hostile Iranian Regime which can only serve to undercut our great work to the detriment of the American people. He told them to wait out the Trump Administration! Was he registered under the Foreign Agents Registration Act? BAD!",39118,124575,54425715,24651,21,2018,9,37,14,1
"Senator Debbie Stabenow and the Democrats are totally against approving the Farm Bill. They are fighting tooth and nail to not allow our Great Farmers to get what they so richly deserve. Work requirements are imperative and the Dems are a NO. Not good!",21003,69694,54401064,26521,9,2018,9,37,13,17
"Thank you @USNationalGuard! #HurricaneFlorence https://t.co/4xWFr1jz9I",7931,34794,54401064,26521,9,2018,9,37,13,17
"I was just briefed on Hurricane Florence. FEMA First Responders and Law Enforcement are supplied and ready. We are with you! https://t.co/mP7icn0Yzl https://t.co/a8KQ0lcoSD",12401,54406,54401064,26521,9,2018,9,37,13,17
"Thank you @USCG! https://t.co/PqddsoZg2I",10539,46440,54401064,26521,9,2018,9,37,13,15
"The Wall Street Journal has it wrong we are under no pressure to make a deal with China they are under pressure to make a deal with us. Our markets are surging theirs are collapsing. We will soon be taking in Billions in Tariffs &amp; making products at home. If we meet we meet?",23038,87737,54401064,26521,9,2018,9,37,13,14
".....This was done by the Democrats in order to make me look as bad as possible when I was successfully raising Billions of Dollars to help rebuild Puerto Rico. If a person died for any reason like old age just add them onto the list. Bad politics. I love Puerto Rico!",21598,90523,54401064,26521,9,2018,9,37,13,12
"3000 people did not die in the two hurricanes that hit Puerto Rico. When I left the Island AFTER the storm had hit they had anywhere from 6 to 18 deaths. As time went by it did not go up by much. Then a long time later they started to report really large numbers like 3000...",20699,77663,54401064,26521,9,2018,9,37,13,12
"ÒMiddle-Class Income Hits All-Time High!Ó @foxandfriends  And will continue to rise (unless the Dems get in and destroy what we have built).",16820,65135,54401064,26521,9,2018,9,37,13,12
".....ÓIt is a cesspool of corruption and the people who did this need to be brought to justice.Ó  @GreggJarrett",10772,43508,54401064,26521,9,2018,9,37,13,12
"More text messages between former FBI employees Peter Strzok and Lisa Page are a disaster and embarrassment to the FBI &amp; DOJ. This should never have happened but we are learning more and more by the hour. ÒOthers were leaking like madÓ in order to get the President! ........",16690,59307,54401064,26521,9,2018,9,37,13,12
"We are completely ready for hurricane Florence as the storm gets even larger and more powerful. Be careful!",8507,46984,54401064,26521,9,2018,9,37,13,11
"The problem with banker Jamie Dimon running for President is that he doesnÕt have the aptitude or ÒsmartsÓ &amp; is a poor public speaker &amp; nervous mess - otherwise he is wonderful. IÕve made a lot of bankers and others look much smarter than they are with my great economic policy!",11842,59886,54401064,26521,9,2018,9,37,13,11
"Tonight it was my great honor to host a Congressional Medal of Honor Society Reception at the @WhiteHouse! https://t.co/75JQiVtnUT",12206,53539,54374543,27193,15,2018,9,37,12,23
"#HurricaneFlorence https://t.co/mP7icn0Yzl https://t.co/jOdKT02rbH",7965,33188,54374543,27193,15,2018,9,37,12,23
"It is imperative that everyone follow local evacuation orders. This storm is extremely dangerous. Be SAFE! #HurricaneFlorence https://t.co/94Ue4e26PD https://t.co/KvF54CwomW",18044,65031,54374543,27193,15,2018,9,37,12,16
"ÒI can say as it relates to the Senate Intelligence Committee Investigation that we have NO hard evidence of Collusion.Ó  Richard Burr (R-NC) Senate Intelligence Committee Chairman",17728,71348,54374543,27193,15,2018,9,37,12,14
"Hurricane Florence may now be dipping a bit south and hitting a portion of the Great State of Georgia. Be ready be prepared!",14106,63590,54374543,27193,15,2018,9,37,12,13
"https://t.co/54YVC4DDfe",13770,55171,54374543,27193,15,2018,9,37,12,11
"Hurricane Florence is looking even bigger than anticipated. It will be arriving soon. FEMA First Responders and Law Enforcement are supplied and ready. Be safe!",14575,69288,54374543,27193,15,2018,9,37,12,10
"We got A Pluses for our recent hurricane work in Texas and Florida (and did an unappreciated great job in Puerto Rico even though an inaccessible island with very poor electricity and a totally incompetent Mayor of San Juan). We are ready for the big one that is coming!",16495,77537,54374543,27193,15,2018,9,37,12,10
"ÒThe President has absolutely demonstrated no wrongdoing whatsoever &amp; that the Special Counsel has no evidence of any wrongdoing. In other words itÕs time to end this Witch Hunt.Ó @LouDobbs   Russian ÒcollusionÓ was just an excuse by the Democrats for having lost the Election!",17704,70293,54374543,27193,15,2018,9,37,12,10
"Crazy Maxine Waters: ÒAfter we impeach Trump weÕll go after Mike Pence. WeÕll get him.Ó  @FoxNews  Where are the Democrats coming from? The best Economy in the history of our country would totally collapse if they ever took control!",28470,109586,54374543,27193,15,2018,9,37,12,1
"....giving the information and causing the appointment of a Special C without having the courage of his own convictions.....Ó  Alan Dershowitz   @TuckerCarlson   In other words the whole thing was illegally and very unfairly set up?",15904,61918,54374543,27193,15,2018,9,37,12,1
"ÒYou know whoÕs at fault for this more than anyone else Comey because he leaked information and laundered it through a professor at Columbia Law School. Shame on that professor and shame on Comey. He snuck the information to a law professor who collaborated with him in........",21065,82077,54374543,27193,15,2018,9,37,12,1
"#NeverForget #September11th https://t.co/POd8D1WfBa",14843,60006,54374543,27193,15,2018,9,37,12,0
"The safety of American people is my absolute highest priority. Heed the directions of your State and Local Officials. Please be prepared be careful and be SAFE! https://t.co/YP7ssITwW9 https://t.co/LZIUCgdPTH",15666,62924,54347350,21603,22,2018,9,37,11,20
"Small Business Optimism Soars to Highest Level Ever | Breitbart https://t.co/T6rFhfPz6n via @BreitbartNews",13347,50928,54347350,21603,22,2018,9,37,11,16
"#NeverForget #September11th https://t.co/l8WZer3UOL",12941,49546,54347350,21603,22,2018,9,37,11,15
"17 years since September 11th!",22422,99109,54347350,21603,22,2018,9,37,11,12
